neighbourhood_group,neighbourhood,price,room_type
Brooklyn,Kensington,149,Private room
Manhattan,Midtown,225,Entire home/apt
Manhattan,Harlem,150,Private room
Brooklyn,Clinton Hill,89,Entire home/apt
Manhattan,East Harlem,80,Entire home/apt
Manhattan,Murray Hill,200,Entire home/apt
Brooklyn,Bedford-Stuyvesant,60,Private room
Manhattan,Hell's Kitchen,79,Private room
Manhattan,Upper West Side,79,Private room
Manhattan,Chinatown,150,Entire home/apt
Manhattan,Upper West Side,135,Entire home/apt
Manhattan,Hell's Kitchen,85,Private room
Brooklyn,South Slope,89,Private room
Manhattan,Upper West Side,85,Private room
Manhattan,West Village,120,Entire home/apt
Brooklyn,Williamsburg,140,Entire home/apt
Brooklyn,Fort Greene,215,Entire home/apt
Manhattan,Chelsea,140,Private room
Brooklyn,Crown Heights,99,Entire home/apt
Manhattan,East Harlem,190,Entire home/apt
Brooklyn,Williamsburg,299,Entire home/apt
Brooklyn,Park Slope,130,Private room
Brooklyn,Park Slope,80,Private room
Brooklyn,Park Slope,110,Private room
Brooklyn,Bedford-Stuyvesant,120,Entire home/apt
Brooklyn,Windsor Terrace,60,Private room
Manhattan,Inwood,80,Private room
Manhattan,Hell's Kitchen,150,Entire home/apt
Manhattan,Inwood,44,Private room
Manhattan,East Village,180,Entire home/apt
Manhattan,Harlem,50,Private room
Manhattan,Harlem,52,Private room
Brooklyn,Greenpoint,55,Private room
Manhattan,Harlem,50,Private room
Brooklyn,Bedford-Stuyvesant,70,Private room
Brooklyn,South Slope,89,Private room
Brooklyn,Bedford-Stuyvesant,35,Private room
Brooklyn,Bushwick,85,Entire home/apt
Brooklyn,Flatbush,150,Private room
Manhattan,Lower East Side,40,Shared room
Manhattan,East Village,68,Private room
Brooklyn,South Slope,120,Entire home/apt
Brooklyn,Fort Greene,120,Private room
Manhattan,Upper West Side,135,Private room
Manhattan,Harlem,150,Entire home/apt
Brooklyn,Prospect-Lefferts Gardens,150,Entire home/apt
Queens,Long Island City,130,Private room
Brooklyn,Bedford-Stuyvesant,110,Entire home/apt
Brooklyn,Bedford-Stuyvesant,115,Entire home/apt
Brooklyn,Fort Greene,80,Private room
Brooklyn,Bedford-Stuyvesant,80,Private room
Manhattan,Upper West Side,151,Entire home/apt
Brooklyn,Williamsburg,228,Entire home/apt
Brooklyn,Greenpoint,144,Entire home/apt
Manhattan,Kips Bay,200,Entire home/apt
Brooklyn,Williamsburg,150,Entire home/apt
Manhattan,Lower East Side,110,Private room
Manhattan,Hell's Kitchen,69,Private room
Brooklyn,Greenpoint,49,Private room
Manhattan,SoHo,180,Entire home/apt
Brooklyn,Williamsburg,80,Private room
Manhattan,Chelsea,375,Entire home/apt
Manhattan,Upper East Side,250,Entire home/apt
Brooklyn,Prospect Heights,200,Entire home/apt
Brooklyn,Clinton Hill,55,Private room
Manhattan,Hell's Kitchen,52,Private room
Brooklyn,Park Slope,225,Entire home/apt
Manhattan,East Village,80,Private room
Brooklyn,Williamsburg,275,Entire home/apt
Manhattan,East Village,99,Private room
Manhattan,East Harlem,225,Entire home/apt
Manhattan,East Village,230,Entire home/apt
Manhattan,Hell's Kitchen,51,Private room
Manhattan,Washington Heights,65,Private room
Brooklyn,Clinton Hill,105,Private room
Manhattan,East Village,190,Entire home/apt
Manhattan,Upper East Side,200,Private room
Queens,Woodside,70,Private room
Brooklyn,Fort Greene,95,Private room
Manhattan,Chelsea,150,Private room
Brooklyn,Williamsburg,145,Private room
Manhattan,Harlem,110,Entire home/apt
Manhattan,Lower East Side,285,Entire home/apt
Brooklyn,Flatbush,130,Entire home/apt
Manhattan,Lower East Side,94,Private room
Brooklyn,Brooklyn Heights,800,Entire home/apt
Brooklyn,Williamsburg,105,Entire home/apt
Manhattan,East Village,60,Private room
Manhattan,East Village,50,Private room
Brooklyn,Williamsburg,85,Private room
Brooklyn,Bushwick,65,Private room
Brooklyn,Prospect Heights,131,Entire home/apt
Brooklyn,Clinton Hill,98,Private room
Brooklyn,Prospect Heights,250,Entire home/apt
Brooklyn,Williamsburg,100,Entire home/apt
Brooklyn,Bushwick,105,Entire home/apt
Manhattan,Upper West Side,140,Entire home/apt
Manhattan,Harlem,89,Private room
Manhattan,Chelsea,98,Private room
Brooklyn,Bedford-Stuyvesant,125,Entire home/apt
Manhattan,Harlem,60,Private room
Brooklyn,Carroll Gardens,175,Entire home/apt
Manhattan,Washington Heights,65,Private room
Manhattan,West Village,500,Entire home/apt
Brooklyn,Williamsburg,101,Private room
Brooklyn,Park Slope,220,Entire home/apt
Brooklyn,Bedford-Stuyvesant,125,Entire home/apt
Brooklyn,Williamsburg,80,Entire home/apt
Manhattan,Harlem,100,Private room
Brooklyn,Gowanus,200,Entire home/apt
Manhattan,Hell's Kitchen,59,Private room
Brooklyn,Clinton Hill,125,Private room
Manhattan,East Village,140,Entire home/apt
Brooklyn,South Slope,120,Entire home/apt
Manhattan,East Village,350,Entire home/apt
Manhattan,Kips Bay,199,Entire home/apt
Brooklyn,Williamsburg,325,Entire home/apt
Manhattan,Upper West Side,235,Entire home/apt
Manhattan,East Village,225,Entire home/apt
Brooklyn,South Slope,99,Private room
Manhattan,Harlem,170,Entire home/apt
Brooklyn,South Slope,400,Entire home/apt
Manhattan,Upper West Side,170,Entire home/apt
Manhattan,East Village,100,Entire home/apt
Brooklyn,Prospect-Lefferts Gardens,75,Private room
Brooklyn,Williamsburg,90,Private room
Manhattan,Upper East Side,150,Entire home/apt
Manhattan,Washington Heights,85,Private room
Brooklyn,Bedford-Stuyvesant,70,Private room
Manhattan,Harlem,120,Entire home/apt
Brooklyn,Clinton Hill,89,Private room
Manhattan,East Village,185,Entire home/apt
Brooklyn,Greenpoint,50,Private room
Manhattan,Lower East Side,105,Entire home/apt
Manhattan,Hell's Kitchen,130,Private room
Manhattan,West Village,115,Entire home/apt
Brooklyn,Flatlands,77,Private room
Brooklyn,Clinton Hill,76,Private room
Brooklyn,Bedford-Stuyvesant,125,Entire home/apt
Brooklyn,Clinton Hill,135,Private room
Brooklyn,Greenpoint,250,Entire home/apt
Brooklyn,Williamsburg,199,Entire home/apt
Brooklyn,Cobble Hill,140,Entire home/apt
Queens,Flushing,140,Private room
Brooklyn,Bedford-Stuyvesant,115,Entire home/apt
Brooklyn,Williamsburg,160,Entire home/apt
Brooklyn,Williamsburg,195,Entire home/apt
Manhattan,East Village,195,Entire home/apt
Brooklyn,Williamsburg,80,Private room
Brooklyn,Fort Greene,44,Private room
Manhattan,West Village,156,Private room
Brooklyn,Prospect Heights,85,Private room
Brooklyn,Williamsburg,125,Private room
Brooklyn,Prospect Heights,115,Entire home/apt
Manhattan,East Harlem,69,Private room
Manhattan,West Village,225,Entire home/apt
Brooklyn,Williamsburg,125,Entire home/apt
Manhattan,Upper East Side,219,Entire home/apt
Brooklyn,Boerum Hill,475,Entire home/apt
Manhattan,Upper East Side,99,Entire home/apt
Brooklyn,Williamsburg,69,Private room
Queens,Sunnyside,79,Private room
Brooklyn,Bedford-Stuyvesant,135,Entire home/apt
Brooklyn,DUMBO,250,Private room
Manhattan,Upper East Side,250,Entire home/apt
Brooklyn,Gowanus,250,Entire home/apt
Manhattan,Harlem,80,Entire home/apt
Brooklyn,Clinton Hill,70,Private room
Brooklyn,Carroll Gardens,165,Entire home/apt
Staten Island,St. George,70,Private room
Brooklyn,Bushwick,50,Private room
Bronx,Highbridge,40,Private room
Brooklyn,Williamsburg,150,Entire home/apt
Manhattan,East Village,125,Private room
Manhattan,Financial District,196,Entire home/apt
Brooklyn,Fort Greene,110,Private room
Manhattan,West Village,170,Entire home/apt
Manhattan,Harlem,165,Entire home/apt
Manhattan,West Village,150,Entire home/apt
Manhattan,Harlem,100,Entire home/apt
Brooklyn,Fort Greene,65,Private room
Queens,Ridgewood,350,Entire home/apt
Manhattan,Morningside Heights,99,Private room
Brooklyn,Williamsburg,200,Entire home/apt
Brooklyn,Park Slope,150,Entire home/apt
Brooklyn,Bedford-Stuyvesant,90,Private room
Brooklyn,Prospect Heights,120,Private room
Manhattan,Upper East Side,75,Private room
Brooklyn,Bedford-Stuyvesant,175,Entire home/apt
Manhattan,Chelsea,125,Entire home/apt
Manhattan,Hell's Kitchen,275,Entire home/apt
Manhattan,Lower East Side,299,Entire home/apt
Brooklyn,South Slope,135,Entire home/apt
Manhattan,Upper East Side,130,Private room
Manhattan,Lower East Side,83,Private room
Manhattan,Chelsea,123,Private room
Queens,Jamaica,55,Private room
Manhattan,Hell's Kitchen,195,Entire home/apt
Brooklyn,Bedford-Stuyvesant,80,Private room
Queens,Middle Village,98,Entire home/apt
Queens,Ridgewood,140,Private room
Queens,Middle Village,265,Entire home/apt
Brooklyn,Williamsburg,249,Entire home/apt
Manhattan,Hell's Kitchen,105,Shared room
Manhattan,Harlem,200,Private room
Brooklyn,Prospect Heights,100,Private room
Manhattan,Harlem,121,Entire home/apt
Bronx,Highbridge,45,Private room
Manhattan,East Harlem,100,Private room
Brooklyn,Williamsburg,140,Entire home/apt
Brooklyn,Bedford-Stuyvesant,71,Private room
Manhattan,NoHo,130,Private room
Manhattan,West Village,199,Entire home/apt
Brooklyn,Williamsburg,69,Private room
Brooklyn,Fort Greene,68,Private room
Manhattan,East Village,130,Entire home/apt
Brooklyn,Greenpoint,195,Entire home/apt
Manhattan,Harlem,64,Private room
Queens,Ditmars Steinway,140,Entire home/apt
Brooklyn,Cobble Hill,159,Entire home/apt
Manhattan,East Village,189,Entire home/apt
Manhattan,Hell's Kitchen,250,Entire home/apt
Manhattan,East Village,239,Entire home/apt
Manhattan,Flatiron District,305,Entire home/apt
Manhattan,Harlem,155,Entire home/apt
Manhattan,Harlem,60,Private room
Brooklyn,Windsor Terrace,135,Private room
Manhattan,Roosevelt Island,120,Private room
Manhattan,Lower East Side,150,Entire home/apt
Queens,Ridgewood,140,Entire home/apt
Brooklyn,Greenpoint,135,Entire home/apt
Manhattan,Chinatown,250,Entire home/apt
Manhattan,Midtown,250,Entire home/apt
Manhattan,SoHo,500,Entire home/apt
Manhattan,Greenwich Village,225,Entire home/apt
Manhattan,East Harlem,125,Entire home/apt
Manhattan,Harlem,92,Private room
Manhattan,Harlem,175,Private room
Manhattan,East Village,99,Entire home/apt
Manhattan,Upper West Side,195,Entire home/apt
Manhattan,East Harlem,140,Entire home/apt
Manhattan,Little Italy,135,Entire home/apt
Manhattan,Chelsea,500,Entire home/apt
Manhattan,Harlem,80,Private room
Manhattan,Chinatown,120,Private room
Manhattan,Midtown,110,Entire home/apt
Brooklyn,East Flatbush,65,Entire home/apt
Manhattan,East Village,130,Entire home/apt
Brooklyn,Bushwick,99,Entire home/apt
Staten Island,Tompkinsville,36,Private room
Staten Island,Tompkinsville,37,Private room
Staten Island,Tompkinsville,37,Private room
Manhattan,East Village,175,Entire home/apt
Manhattan,Chelsea,205,Entire home/apt
Brooklyn,Greenpoint,285,Entire home/apt
Brooklyn,Williamsburg,59,Private room
Staten Island,Tompkinsville,36,Private room
Queens,Astoria,99,Entire home/apt
Brooklyn,Kensington,39,Private room
Brooklyn,Park Slope,60,Private room
Bronx,Clason Point,90,Private room
Bronx,Eastchester,105,Entire home/apt
Brooklyn,Bedford-Stuyvesant,135,Entire home/apt
Manhattan,East Village,390,Entire home/apt
Brooklyn,Bedford-Stuyvesant,70,Private room
Manhattan,Inwood,75,Private room
Brooklyn,Williamsburg,60,Private room
Manhattan,East Village,200,Entire home/apt
Brooklyn,Crown Heights,100,Private room
Brooklyn,Bedford-Stuyvesant,70,Private room
Brooklyn,Crown Heights,110,Private room
Brooklyn,Crown Heights,60,Private room
Manhattan,Little Italy,90,Entire home/apt
Manhattan,East Village,68,Private room
Manhattan,Upper West Side,115,Entire home/apt
Brooklyn,Bedford-Stuyvesant,75,Private room
Brooklyn,Williamsburg,60,Private room
Manhattan,East Village,129,Entire home/apt
Brooklyn,Williamsburg,130,Entire home/apt
Brooklyn,Williamsburg,95,Entire home/apt
Manhattan,Harlem,75,Private room
Brooklyn,Park Slope,175,Entire home/apt
Brooklyn,Carroll Gardens,190,Entire home/apt
Brooklyn,Crown Heights,49,Private room
Manhattan,East Village,212,Entire home/apt
Manhattan,Lower East Side,95,Private room
Brooklyn,Williamsburg,140,Entire home/apt
Manhattan,Harlem,135,Entire home/apt
Brooklyn,Park Slope,150,Entire home/apt
Brooklyn,Gowanus,190,Entire home/apt
Manhattan,East Harlem,124,Entire home/apt
Brooklyn,Williamsburg,135,Entire home/apt
Manhattan,Morningside Heights,122,Private room
Manhattan,Upper West Side,109,Private room
Manhattan,Harlem,85,Private room
Brooklyn,Bedford-Stuyvesant,145,Entire home/apt
Manhattan,Upper West Side,195,Entire home/apt
Brooklyn,Carroll Gardens,250,Entire home/apt
Brooklyn,Greenpoint,125,Private room
Manhattan,Little Italy,575,Entire home/apt
Manhattan,Upper West Side,150,Entire home/apt
Brooklyn,Bushwick,70,Private room
Manhattan,Inwood,90,Private room
Manhattan,East Village,65,Private room
Manhattan,East Village,500,Entire home/apt
Manhattan,Washington Heights,250,Entire home/apt
Manhattan,Chinatown,125,Entire home/apt
Manhattan,West Village,200,Entire home/apt
Brooklyn,Greenpoint,229,Entire home/apt
Bronx,Kingsbridge,90,Entire home/apt
Manhattan,Upper West Side,110,Entire home/apt
Brooklyn,Greenpoint,59,Private room
Brooklyn,Williamsburg,195,Entire home/apt
Brooklyn,Williamsburg,169,Entire home/apt
Manhattan,East Harlem,113,Entire home/apt
Manhattan,Harlem,250,Entire home/apt
Queens,Astoria,115,Entire home/apt
Brooklyn,Greenpoint,55,Private room
Brooklyn,Williamsburg,69,Private room
Manhattan,Lower East Side,150,Entire home/apt
